,spg,ion,element,Z,oxidation number,charge,Oxidation State,count
0,1.0,Ag1.0,Ag,47,1.0,1.0,1.0,8
1,1.0,Al3.0,Al,13,3.0,1.0,3.0,14
2,1.0,As-2.875,As,33,2.875,-1.0,-2.875,1
3,1.0,As2.8947368421052633,As,33,2.8947368421052633,1.0,2.8947368421052633,1
4,1.0,As3.0,As,33,3.0,1.0,3.0,2
5,1.0,As5.0,As,33,5.0,1.0,5.0,6
6,1.0,Au3.0,Au,79,3.0,1.0,3.0,2
7,1.0,B-3.0,B,5,3.0,-1.0,-3.0,1
8,1.0,B3.0,B,5,3.0,1.0,3.0,8
9,1.0,Ba2.0,Ba,56,2.0,1.0,2.0,19
10,1.0,Be2.0,Be,4,2.0,1.0,2.0,2
11,1.0,Bi3.0,Bi,83,3.0,1.0,3.0,8
12,1.0,Bi5.0,Bi,83,5.0,1.0,5.0,1
13,1.0,Br-1.0,Br,35,1.0,-1.0,-1.0,6
14,1.0,C-3.0,C,6,3.0,-1.0,-3.0,1
15,1.0,C4.0,C,6,4.0,1.0,4.0,2
16,1.0,Ca2.0,Ca,20,2.0,1.0,2.0,16
17,1.0,Cd2.0,Cd,48,2.0,1.0,2.0,4
18,1.0,Ce3.0,Ce,58,3.0,1.0,3.0,3
19,1.0,Ce4.0,Ce,58,4.0,1.0,4.0,1
20,1.0,Cl-1.0,Cl,17,1.0,-1.0,-1.0,16
21,1.0,Co2.0,Co,27,2.0,1.0,2.0,5
22,1.0,Co2.125,Co,27,2.125,1.0,2.125,1
23,1.0,Co3.0,Co,27,3.0,1.0,3.0,1
24,1.0,Co3.6666666666666665,Co,27,3.6666666666666665,1.0,3.6666666666666665,1
25,1.0,Co4.0,Co,27,4.0,1.0,4.0,2
26,1.0,Cr2.3333333333333335,Cr,24,2.3333333333333335,1.0,2.3333333333333335,1
27,1.0,Cr3.0,Cr,24,3.0,1.0,3.0,1
28,1.0,Cr4.0,Cr,24,4.0,1.0,4.0,1
29,1.0,Cr5.0,Cr,24,5.0,1.0,5.0,1
30,1.0,Cr6.0,Cr,24,6.0,1.0,6.0,2
31,1.0,Cs1.0,Cs,55,1.0,1.0,1.0,10
32,1.0,Cu1.0,Cu,29,1.0,1.0,1.0,5
33,1.0,Cu1.2352941176470589,Cu,29,1.2352941176470589,1.0,1.2352941176470589,1
34,1.0,Cu1.7777777777777777,Cu,29,1.7777777777777777,1.0,1.7777777777777777,1
35,1.0,Cu2.0,Cu,29,2.0,1.0,2.0,7
36,1.0,Dy3.0,Dy,66,3.0,1.0,3.0,1
37,1.0,Er3.0,Er,68,3.0,1.0,3.0,1
38,1.0,Eu2.0,Eu,63,2.0,1.0,2.0,1
39,1.0,Eu2.5,Eu,63,2.5,1.0,2.5,1
40,1.0,Eu3.0,Eu,63,3.0,1.0,3.0,2
41,1.0,F-1.0,F,9,1.0,-1.0,-1.0,36
42,1.0,Fe2.0,Fe,26,2.0,1.0,2.0,7
43,1.0,Fe3.0,Fe,26,3.0,1.0,3.0,17
44,1.0,Ga3.0,Ga,31,3.0,1.0,3.0,7
45,1.0,Gd3.0,Gd,64,3.0,1.0,3.0,3
46,1.0,Ge4.0,Ge,32,4.0,1.0,4.0,9
47,1.0,H0.3333333333333333,H,1,0.3333333333333333,1.0,0.3333333333333333,1
48,1.0,H0.6666666666666666,H,1,0.6666666666666666,1.0,0.6666666666666666,1
49,1.0,H0.8,H,1,0.8,1.0,0.8,1
50,1.0,H1.0,H,1,1.0,1.0,1.0,32
51,1.0,Hf4.0,Hf,72,4.0,1.0,4.0,2
52,1.0,Hg1.0909090909090908,Hg,80,1.0909090909090908,1.0,1.0909090909090908,1
53,1.0,Hg2.0,Hg,80,2.0,1.0,2.0,3
54,1.0,Ho3.0,Ho,67,3.0,1.0,3.0,2
55,1.0,I-1.0,I,53,1.0,-1.0,-1.0,5
56,1.0,I5.0,I,53,5.0,1.0,5.0,4
57,1.0,In3.0,In,49,3.0,1.0,3.0,10
58,1.0,Ir4.5,Ir,77,4.5,1.0,4.5,1
59,1.0,K1.0,K,19,1.0,1.0,1.0,38
60,1.0,La3.0,La,57,3.0,1.0,3.0,15
61,1.0,Li1.0,Li,3,1.0,1.0,1.0,44
62,1.0,Lu3.0,Lu,71,3.0,1.0,3.0,1
63,1.0,Mg2.0,Mg,12,2.0,1.0,2.0,17
64,1.0,Mn2.0,Mn,25,2.0,1.0,2.0,10
65,1.0,Mn2.5,Mn,25,2.5,1.0,2.5,2
66,1.0,Mn2.6666666666666665,Mn,25,2.6666666666666665,1.0,2.6666666666666665,1
67,1.0,Mn2.8,Mn,25,2.8,1.0,2.8,1
68,1.0,Mn3.0,Mn,25,3.0,1.0,3.0,4
69,1.0,Mn3.25,Mn,25,3.25,1.0,3.25,2
70,1.0,Mn3.4,Mn,25,3.4,1.0,3.4,1
71,1.0,Mn3.5,Mn,25,3.5,1.0,3.5,2
72,1.0,Mn3.55,Mn,25,3.55,1.0,3.55,1
73,1.0,Mn3.75,Mn,25,3.75,1.0,3.75,1
74,1.0,Mn3.8181818181818183,Mn,25,3.8181818181818183,1.0,3.8181818181818183,1
75,1.0,Mn4.0,Mn,25,4.0,1.0,4.0,1
76,1.0,Mn4.5,Mn,25,4.5,1.0,4.5,1
77,1.0,Mo2.0,Mo,42,2.0,1.0,2.0,2
78,1.0,Mo2.0833333333333335,Mo,42,2.0833333333333335,1.0,2.0833333333333335,1
79,1.0,Mo2.888888888888889,Mo,42,2.888888888888889,1.0,2.888888888888889,1
80,1.0,Mo3.0,Mo,42,3.0,1.0,3.0,1
81,1.0,Mo3.5,Mo,42,3.5,1.0,3.5,1
82,1.0,Mo5.0,Mo,42,5.0,1.0,5.0,1
83,1.0,Mo5.666666666666667,Mo,42,5.666666666666667,1.0,5.666666666666667,1
84,1.0,Mo6.0,Mo,42,6.0,1.0,6.0,5
85,1.0,N-2.6666666666666665,N,7,2.6666666666666665,-1.0,-2.6666666666666665,1
86,1.0,N-3.0,N,7,3.0,-1.0,-3.0,12
87,1.0,N1.0,N,7,1.0,1.0,1.0,1
88,1.0,N2.0,N,7,2.0,1.0,2.0,1
89,1.0,N5.0,N,7,5.0,1.0,5.0,3
90,1.0,Na1.0,Na,11,1.0,1.0,1.0,48
91,1.0,Nb2.5,Nb,41,2.5,1.0,2.5,1
92,1.0,Nb3.3333333333333335,Nb,41,3.3333333333333335,1.0,3.3333333333333335,1
93,1.0,Nb5.0,Nb,41,5.0,1.0,5.0,13
94,1.0,Nd3.0,Nd,60,3.0,1.0,3.0,1
95,1.0,Ni2.0,Ni,28,2.0,1.0,2.0,3
96,1.0,Ni2.888888888888889,Ni,28,2.888888888888889,1.0,2.888888888888889,1
97,1.0,Ni3.5555555555555554,Ni,28,3.5555555555555554,1.0,3.5555555555555554,1
98,1.0,O-2.0,O,8,2.0,-1.0,-2.0,178
99,1.0,Os0.0,Os,76,0.0,0.0,0.0,1
100,1.0,P-3.0,P,15,3.0,-1.0,-3.0,2
101,1.0,P3.0,P,15,3.0,1.0,3.0,1
102,1.0,P3.25,P,15,3.25,1.0,3.25,1
103,1.0,P4.0,P,15,4.0,1.0,4.0,1
104,1.0,P5.0,P,15,5.0,1.0,5.0,58
105,1.0,Pb2.0,Pb,82,2.0,1.0,2.0,8
106,1.0,Pr3.0,Pr,59,3.0,1.0,3.0,2
107,1.0,Pt2.0,Pt,78,2.0,1.0,2.0,1
108,1.0,Pt3.3333333333333335,Pt,78,3.3333333333333335,1.0,3.3333333333333335,1
109,1.0,Pu3.0,Pu,94,3.0,1.0,3.0,1
110,1.0,Rb1.0,Rb,37,1.0,1.0,1.0,11
111,1.0,Re3.0,Re,75,3.0,1.0,3.0,2
112,1.0,Re6.5,Re,75,6.5,1.0,6.5,1
113,1.0,Re7.0,Re,75,7.0,1.0,7.0,2
114,1.0,Rh3.625,Rh,45,3.625,1.0,3.625,1
115,1.0,Ru2.0,Ru,44,2.0,1.0,2.0,2
116,1.0,Ru3.5,Ru,44,3.5,1.0,3.5,1
117,1.0,Ru3.8125,Ru,44,3.8125,1.0,3.8125,1
118,1.0,Ru4.0,Ru,44,4.0,1.0,4.0,1
119,1.0,Ru5.666666666666667,Ru,44,5.666666666666667,1.0,5.666666666666667,1
120,1.0,S-0.25,S,16,0.25,-1.0,-0.25,1
121,1.0,S-0.8571428571428571,S,16,0.8571428571428571,-1.0,-0.8571428571428571,1
122,1.0,S-1.0,S,16,1.0,-1.0,-1.0,1
123,1.0,S-1.6,S,16,1.6,-1.0,-1.6,2
124,1.0,S-2.0,S,16,2.0,-1.0,-2.0,23
125,1.0,S5.0,S,16,5.0,1.0,5.0,2
126,1.0,S6.0,S,16,6.0,1.0,6.0,5
127,1.0,Sb-1.8181818181818181,Sb,51,1.8181818181818181,-1.0,-1.8181818181818181,1
128,1.0,Sb-2.076923076923077,Sb,51,2.076923076923077,-1.0,-2.076923076923077,1
129,1.0,Sb3.0,Sb,51,3.0,1.0,3.0,2
130,1.0,Sb3.0952380952380953,Sb,51,3.0952380952380953,1.0,3.0952380952380953,1
131,1.0,Sb5.0,Sb,51,5.0,1.0,5.0,5
132,1.0,Sc3.0,Sc,21,3.0,1.0,3.0,2
133,1.0,Se-1.0491803278688525,Se,34,1.0491803278688525,-1.0,-1.0491803278688525,1
134,1.0,Se-1.6363636363636365,Se,34,1.6363636363636365,-1.0,-1.6363636363636365,1
135,1.0,Se-2.0,Se,34,2.0,-1.0,-2.0,13
136,1.0,Se4.0,Se,34,4.0,1.0,4.0,4
137,1.0,Se6.0,Se,34,6.0,1.0,6.0,3
138,1.0,Si-4.0,Si,14,4.0,-1.0,-4.0,3
139,1.0,Si4.0,Si,14,4.0,1.0,4.0,27
140,1.0,Sm3.0,Sm,62,3.0,1.0,3.0,1
141,1.0,Sn2.0,Sn,50,2.0,1.0,2.0,2
142,1.0,Sn4.0,Sn,50,4.0,1.0,4.0,5
143,1.0,Sr2.0,Sr,38,2.0,1.0,2.0,13
144,1.0,Ta3.2142857142857144,Ta,73,3.2142857142857144,1.0,3.2142857142857144,1
145,1.0,Ta3.7037037037037037,Ta,73,3.7037037037037037,1.0,3.7037037037037037,1
146,1.0,Ta5.0,Ta,73,5.0,1.0,5.0,4
147,1.0,Te-1.4285714285714286,Te,52,1.4285714285714286,-1.0,-1.4285714285714286,1
148,1.0,Te-2.0,Te,52,2.0,-1.0,-2.0,4
149,1.0,Te2.0,Te,52,2.0,1.0,2.0,1
150,1.0,Te4.0,Te,52,4.0,1.0,4.0,5
151,1.0,Te6.0,Te,52,6.0,1.0,6.0,3
152,1.0,Th4.0,Th,90,4.0,1.0,4.0,2
153,1.0,Ti3.8461538461538463,Ti,22,3.8461538461538463,1.0,3.8461538461538463,1
154,1.0,Ti3.9,Ti,22,3.9,1.0,3.9,1
155,1.0,Ti4.0,Ti,22,4.0,1.0,4.0,9
156,1.0,Tl1.0,Tl,81,1.0,1.0,1.0,5
157,1.0,Tl3.0,Tl,81,3.0,1.0,3.0,1
158,1.0,U4.0,U,92,4.0,1.0,4.0,2
159,1.0,U4.5,U,92,4.5,1.0,4.5,1
160,1.0,U5.555555555555555,U,92,5.555555555555555,1.0,5.555555555555555,1
161,1.0,U6.0,U,92,6.0,1.0,6.0,2
162,1.0,V2.0,V,23,2.0,1.0,2.0,1
163,1.0,V2.5833333333333335,V,23,2.5833333333333335,1.0,2.5833333333333335,1
164,1.0,V3.0,V,23,3.0,1.0,3.0,7
165,1.0,V3.125,V,23,3.125,1.0,3.125,1
166,1.0,V3.5,V,23,3.5,1.0,3.5,2
167,1.0,V3.75,V,23,3.75,1.0,3.75,1
168,1.0,V4.0,V,23,4.0,1.0,4.0,3
169,1.0,V4.944444444444445,V,23,4.944444444444445,1.0,4.944444444444445,1
170,1.0,V5.0,V,23,5.0,1.0,5.0,8
171,1.0,W5.105263157894737,W,74,5.105263157894737,1.0,5.105263157894737,1
172,1.0,W5.222222222222222,W,74,5.222222222222222,1.0,5.222222222222222,1
173,1.0,W6.0,W,74,6.0,1.0,6.0,5
174,1.0,Y3.0,Y,39,3.0,1.0,3.0,7
175,1.0,Yb2.0,Yb,70,2.0,1.0,2.0,2
176,1.0,Zn2.0,Zn,30,2.0,1.0,2.0,8
177,1.0,Zr4.0,Zr,40,4.0,1.0,4.0,6
178,2.0,Ag1.0,Ag,47,1.0,1.0,1.0,16
